example_id,title_ko,mode,seed,reference_tokens,source_dependency_gap_seconds,dino_gt_cosine,dino_gt_cosine_after_1s,adjacent_pixel_mae_0_255,generation_seconds_including_load,peak_gpu_allocated_gib
five_001_nursery_manager,보육원 관리자 재등장,local,42,0,79.06326666666666,0.2008225917816162,0.21654200553894043,2.5951247215270996,22.22067579254508,39.14397954940796
five_001_nursery_manager,보육원 관리자 재등장,oracle,42,144,79.06326666666666,0.39150699973106384,0.434749960899353,2.073456048965454,19.75647732336074,39.14397954940796
five_002_robot_head,로봇 모형의 가려졌던 머리,local,42,0,217.63430096763432,0.8735718131065369,0.8635478019714355,1.9209134578704834,22.655203103087842,39.14397954940796
five_002_robot_head,로봇 모형의 가려졌던 머리,oracle,42,144,217.63430096763432,0.8677577972412109,0.852974534034729,2.019041061401367,23.198293638415635,39.14397954940796
five_003_student_return,교실 학생의 얼굴 재등장,local,42,0,14.583333333333329,0.3772127628326416,0.3644559383392334,1.132595419883728,20.709113482385874,39.14397954940796
five_003_student_return,교실 학생의 얼굴 재등장,oracle,42,144,14.583333333333329,0.356964111328125,0.34062400460243225,1.0968579053878784,20.665521880611777,39.14397954940796
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,local,42,0,167.0,0.24982132017612457,0.1179056242108345,9.301119804382324,20.828215522691607,39.14397954940796
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,oracle,42,144,167.0,0.24221740663051605,0.11260911077260971,9.097624778747559,20.97823541611433,39.14397954940796
five_005_conservator,보존 작업자의 얼굴 재등장,local,42,0,61.96666666666667,0.38563868403434753,0.5367565155029297,3.3296470642089844,22.53483202494681,39.14397954940796
five_005_conservator,보존 작업자의 얼굴 재등장,oracle,42,144,61.96666666666667,0.2920973002910614,0.3945522904396057,2.168181896209717,20.97984302416444,39.14397954940796
